label_rank_qid,label_rank_name,label_qid,label_name,assigned_node_count,assigned_leaf_node_count,strict_descendant_count,leaf_descendant_count,is_leaf_label
Q37517,class,Q5113,bird,19291,15007,19291,15007,0
Q5867051,subclass,Q19163,Neornithes,14571,11246,14571,11246,0
Q5867051,subclass,Q19168,Neognathae,14555,11238,14555,11238,0
Q5867051,subclass,Q7142618,Passerae,2181,1780,2181,1780,0
Q5867051,subclass,Q3349337,Odontornithes,18,9,18,9,0
Q5867051,subclass,Q2033411,Archaeornithes,0,0,0,0,1
Q5867051,subclass,Q2730115,Sauriurae,0,0,0,0,1
Q2007442,infraclass,Q19166,Palaeognathae,273,198,273,198,0
Q2007442,infraclass,Q21216243,Odontotormae,15,8,15,8,0
Q5868144,superorder,Q2330918,Neoaves,12809,9938,12809,9938,0
Q5868144,superorder,Q43657,Aequornithes,1580,1196,1580,1196,0
Q5868144,superorder,Q19962355,Psittacimorphae,1562,1214,1562,1214,0
Q5868144,superorder,Q19596430,Columbimorphae,1434,1151,1434,1151,0
Q5868144,superorder,Q5881279,Strigimorphae,1299,1088,1299,1088,0
Q5868144,superorder,Q19596468,Coraciimorphae,873,688,873,688,0
Q5868144,superorder,Q853058,Galloanserae,775,561,775,561,0
Q5868144,superorder,Q23092000,Trogonomorphae,9,4,9,4,0
Q5868144,superorder,Q17273280,Cuculimorphae,3,1,3,1,0
Q5868144,superorder,Q14920546,Galloanserimorphae,2,2,2,2,0
Q5868144,superorder,Q19170,ratites,2,2,2,2,0
Q5868144,superorder,Q19961774,Ciconiimorphae,2,1,2,1,0
Q5868144,superorder,Q19597380,Charadriimorphae,1,1,1,1,0
Q5868144,superorder,Q19961898,Passerimorphae,1,1,1,1,0
Q5868144,superorder,Q19961995,Picimorphae,1,1,1,1,0
Q5868144,superorder,Q108913892,Cursorimorphae,0,0,0,0,1
Q5868144,superorder,Q108916660,Caprimulgimorphae,0,0,0,0,1
Q5868144,superorder,Q12203302,Dromaeomorphae,0,0,0,0,1
Q5868144,superorder,Q12218376,Casuariimorphae,0,0,0,0,1
Q5868144,superorder,Q12236827,Apterygimorphae,0,0,0,0,1
Q5868144,superorder,Q12248671,Struthionimorphae,0,0,0,0,1
Q5868144,superorder,Q16910814,Gaviomorphae,0,0,0,0,1
Q5868144,superorder,Q19896718,Anserimorphae,0,0,0,0,1
Q5868144,superorder,Q19961761,Apodimorphae,0,0,0,0,1
Q5868144,superorder,Q19961770,Bucerotimorphae,0,0,0,0,1
Q5868144,superorder,Q19961788,Gallomorphae,0,0,0,0,1
Q5868144,superorder,Q517768,Coraciae,0,0,0,0,1
Q5868144,superorder,Q5431800,Falconimorphae,0,0,0,0,1
Q36602,order,Q25341,passerines,15749,12697,15749,12697,0
Q36602,order,Q25950,Apodiformes,1882,1474,1882,1474,0
Q36602,order,Q25934,Piciformes,1653,1312,1653,1312,0
Q36602,order,Q25978,Charadriiformes,1635,1267,1635,1267,0
Q36602,order,Q31431,Psittaciformes,1561,1214,1561,1214,0
Q36602,order,Q21659,Galliformes,1557,1249,1557,1249,0
Q36602,order,Q28078,Columbiformes,1367,1105,1367,1105,0
Q36602,order,Q25222,Strigiformes,1128,953,1128,953,0
Q36602,order,Q21736,Accipitriformes,1087,851,1087,851,0
Q36602,order,Q25557,Gruiformes,944,726,944,726,0
Q36602,order,Q484131,Coraciiformes,859,681,859,681,0
Q36602,order,Q21651,Anseriformes,753,549,753,549,0
Q36602,order,Q183364,Cuculiformes,588,454,588,454,0
Q36602,order,Q19338,Pelecaniformes,533,395,533,395,0
Q36602,order,Q21685,Procellariiformes,476,377,476,377,0
Q36602,order,Q26125,Caprimulgiformes,460,368,460,368,0
Q36602,order,Q25370,Falconiformes,333,271,333,271,0
Q36602,order,Q20740,Bucerotiformes,277,210,277,210,0
Q36602,order,Q21728,Suliformes,277,215,277,215,0
Q36602,order,Q12355980,Tinamiformes,235,197,235,197,0
Q36602,order,Q14566629,Trogoniformes,169,135,169,135,0
Q36602,order,Q12198609,Sphenisciformes,138,99,138,99,0
Q36602,order,Q16724409,Otidiformes,119,90,119,90,0
Q36602,order,Q20604429,Podicipediformes,112,85,112,85,0
Q36602,order,Q21716,Ciconiiformes,102,75,102,75,0
Q36602,order,Q19173,Casuariiformes,82,70,82,70,0
Q36602,order,Q9362738,Musophagiformes,78,52,78,52,0
Q36602,order,Q1207101,Cariamiformes,77,44,77,44,0
Q36602,order,Q2982568,Coliiformes,62,50,62,50,0
Q36602,order,Q108117338,Podargiformes,61,47,61,47,0
Q36602,order,Q14943631,Pterocliformes,58,43,58,43,0
Q36602,order,Q2814783,Gaviiformes,47,35,47,35,0
Q36602,order,Q7512165,Phoenicopteriformes,42,30,42,30,0
Q36602,order,Q1113470,Rheiformes,40,29,40,29,0
Q36602,order,Q840849,Struthioniformes,34,30,34,30,0
Q36602,order,Q452969,Dinornithiformes,30,21,30,21,0
Q36602,order,Q12765692,Phaethontiformes,28,19,28,19,0
Q36602,order,Q11085824,Apterygiformes,20,15,20,15,0
Q36602,order,Q20639356,Cathartiformes,17,9,17,9,0
Q36602,order,Q19567380,Lithornithiformes,16,10,16,10,0
Q36602,order,Q15632492,Ichthyornithiformes,14,8,14,8,0
Q36602,order,Q3605955,Aepyornithiformes,14,10,14,10,0
Q36602,order,Q147907,Eurypygiformes,10,5,10,5,0
Q36602,order,Q16183713,Archaeopterygiformes,9,5,9,5,0
Q36602,order,Q23091988,Sandcoleiformes,8,4,8,4,0
Q36602,order,Q1029534,Gastornithiformes,7,4,7,4,0
