label_rank_qid,label_rank_name,label_count,assigned_node_count_mean,assigned_node_count_median,assigned_node_count_max,assigned_node_count_min,assigned_leaf_node_count_mean,assigned_leaf_node_count_median,assigned_leaf_node_count_max,zero_assigned_label_count
Q37517,class,1,19291.00,19291.00,19291,0,15007.00,15007.00,15007,0
Q5867051,subclass,6,5220.83,1099.50,14571,0,4045.50,894.50,11246,2
Q2007442,infraclass,2,144.00,144.00,273,0,103.00,103.00,198,0
Q5868144,superorder,28,726.89,1.00,12809,0,566.04,1.00,9938,13
Q36602,order,79,440.56,16.00,15749,0,349.59,10.00,12697,17
Q5867959,suborder,54,301.06,1.00,12022,0,242.54,1.00,9745,18
Q2889003,infraorder,10,41.10,2.00,280,0,32.00,1.50,229,4
Q6311258,parvorder,5,2097.60,1073.00,7239,0,1699.00,893.00,5899,1
Q2136103,superfamily,100,113.09,0.00,2663,0,90.94,0.00,2160,77
Q35409,family,411,119.11,8.00,1649,0,95.69,5.00,1336,78
Q164280,subfamily,284,33.07,0.00,985,0,26.90,0.00,796,161
Q227936,tribe,114,4.69,0.00,181,0,3.70,0.00,153,83
Q34740,genus,3442,13.33,4.00,448,0,11.46,3.00,403,228
Q3238261,subgenus,45,0.07,0.00,3,0,0.04,0.00,2,44
Q7432,species,21061,1.18,0.00,52,0,1.18,0.00,52,14622
Q68947,subspecies,24804,0.00,0.00,0,0,0.00,0.00,0,24804
Q279749,form,8,0.00,0.00,0,0,0.00,0.00,0,8
Q112082101,ichnogenus,1,0.00,0.00,0,0,0.00,0.00,0,1
unknown,unknown,80,1030.96,2.00,19292,0,811.79,1.00,15007,12
